date,open,high,low,close,Adj Close,volume,rsi
2002-05-07,106.099998,106.32,104.900002,105.099998,70.690956,21910000,30.22
2002-05-08,107.050003,109.360001,106.790001,109.010002,73.320915,27917400,46.85
2002-05-09,108.650002,109.099998,107.580002,107.75,72.473412,18085600,43.27
2002-05-10,107.970001,108.050003,105.599998,105.720001,71.108032,18958900,38.21
2002-05-13,106.220001,107.949997,105.790001,107.870003,72.554108,14677700,45.48
2002-05-14,109.620003,110.370003,109.0,110.220001,74.134735,34201200,52.12
2002-05-15,109.5,110.910004,109.290001,109.790001,73.845512,29535300,50.9
2002-05-16,109.699997,110.480003,109.330002,110.360001,74.228905,28092000,52.49
2002-05-17,110.660004,111.25,110.099998,110.900002,74.592125,27823700,54.01
2002-05-20,110.639999,110.690002,109.489998,109.699997,73.784973,13833800,50.17
2002-05-21,110.110001,110.480003,108.32,108.699997,73.112373,16877200,47.16
2002-05-22,108.220001,109.120003,108.0,108.940002,73.273804,15844200,47.97
2002-05-23,109.260002,110.360001,108.480003,110.099998,74.054031,13879800,51.8
2002-05-24,109.980003,110.199997,108.610001,108.690002,73.105644,11877000,47.25
2002-05-28,109.050003,109.129997,107.449997,108.099998,72.708862,24236900,45.45
2002-05-29,107.620003,108.019997,107.129997,107.300003,72.170769,14773300,43.05
2002-05-30,106.550003,107.510002,105.900002,107.0,71.968964,18217900,42.16
2002-05-31,107.400002,108.559998,106.849998,107.220001,72.116936,19826300,43.09
2002-06-03,107.089996,107.599998,104.129997,104.370003,70.200035,26056300,35.16
2002-06-04,104.150002,105.199997,103.550003,104.629997,70.374855,25856200,36.31
2002-06-05,104.949997,105.669998,104.349998,105.610001,71.034027,19695900,40.59
2002-06-06,105.540001,105.599998,103.150002,103.459999,69.587929,22998500,35.03
2002-06-07,101.779999,103.919998,101.720001,103.339996,69.507233,24011600,34.74
2002-06-10,103.239998,104.459999,103.019997,103.739998,69.77626,18759900,36.6
2002-06-11,104.129997,104.540001,101.730003,101.959999,68.578987,19990700,32.2
2002-06-12,101.709999,102.809998,100.779999,102.580002,68.996017,31266000,35.13
2002-06-13,102.129997,103.0,101.339996,101.550003,68.30323,21043900,32.61
2002-06-14,100.309998,101.559998,98.5,101.400002,68.202339,39267500,32.25
2002-06-17,101.919998,104.339996,101.849998,104.120003,70.031845,17647200,44.33
2002-06-18,103.739998,105.029999,103.629997,104.970001,70.603554,21628500,47.48
2002-06-19,103.5,104.43,102.239998,102.519997,68.955658,21540700,40.38
2002-06-20,102.260002,103.050003,100.959999,101.209999,68.074524,25691000,37.18
2002-06-21,100.470001,100.93,98.68,99.279999,67.010132,31190700,33.03
2002-06-24,98.610001,100.690002,97.25,99.800003,67.361122,37169700,35.13
2002-06-25,100.300003,100.889999,97.540001,97.559998,65.849197,33355000,30.67
2002-06-26,95.199997,98.150002,95.190002,97.720001,65.957207,37913600,31.34
2002-06-27,98.5,99.489998,96.57,99.43,67.111389,31616400,38.22
2002-06-28,99.239998,100.5,98.879997,98.959999,66.794159,28184200,37.12
2002-07-01,99.18,99.800003,96.889999,97.029999,65.491478,20270200,32.92
2002-07-02,96.860001,97.199997,94.769997,94.970001,64.101074,34213900,29.14
2002-07-03,94.620003,95.839996,93.720001,95.510002,64.46553,30565800,31.37
2002-07-05,96.779999,99.529999,96.660004,99.309998,67.030357,19013500,44.58
2002-07-08,98.980003,99.699997,97.559998,98.07,66.193413,19118600,41.75
2002-07-09,97.730003,98.339996,95.010002,95.599998,64.526276,28620400,36.76
2002-07-10,96.0,96.07,92.040001,92.120003,62.177441,50522500,31.11
2002-07-11,91.760002,93.349998,90.32,92.870003,62.683659,59476500,33.48
2002-07-12,93.330002,93.889999,91.519997,91.849998,61.995155,39018600,31.87
2002-07-15,91.639999,92.400002,87.889999,92.339996,62.325905,77317200,33.52
2002-07-16,91.120003,92.379997,89.870003,90.559998,61.124481,53282400,30.62
2002-07-17,92.459999,93.300003,89.75,90.739998,61.245934,48880600,31.27
2002-07-18,90.699997,91.099998,87.75,87.800003,59.261585,32656700,26.86
2002-07-19,86.760002,87.550003,84.300003,84.709999,57.175964,77572600,23.16
2002-07-22,84.099998,85.910004,81.449997,82.199997,55.481808,78134000,20.67
2002-07-23,82.550003,83.239998,79.75,79.949997,53.963104,74484100,18.72
2002-07-24,78.129997,85.120003,77.68,84.720001,57.182716,107022800,33.09
